index	filename	word	translation	context	repetition	position	stop	poa	voice	affric	glott	pharlzd	labialzd	palatlzd	folVowel	prevVowel	totdur	folVowDur	prevVowDur	fric	postfric	closdur	tstart	tend	reltime	pfst	cvst	modst	comment
29	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	1	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.046436882062085516	0.08687689634688311	--undefined--	0.0032907915282933686	0	0.04314609053379215	23.451847313009104	23.49828419507119	23.494993403542896	--undefined--	--undefined--	23.49828419507119	
30	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	1	medial	k':	velar	geminate	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.2047813213649654	0.20522827815020506	0.08687689634688311	0.0715413106612992	0.0836195098976269	0.0496205008060393	23.585161091418072	23.789942412783038	23.634781592224112	23.70632290288541	--undefined--	23.789942412783038	
31	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	1	final	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd		u	0.13062586994933767	--undefined--	0.20522827815020506	0	0	0	23.995170690933243	24.12579656088258	23.634781592224112	--undefined--	--undefined--	0	
32	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	2	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.06693079930413504	0.11441141969699231	--undefined--	0.01118547399272174	0	0.055745325311413296	25.246000378744853	25.312931178048988	25.301745704056266	--undefined--	--undefined--	25.312931178048988	
33	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	2	medial	k':	velar	geminate	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.20847612653797754	0.2302765926978516	0.11441141969699231	0.060495512028463594	0.07213225102810483	0.07584836348140911	25.42734259774598	25.635818724283958	25.50319096122739	25.563686473255853	--undefined--	25.635818724283958	
34	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	2	final	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd		u	0.16934394451882895	--undefined--	0.2302765926978516	0	0	0	25.86609531698181	26.03543926150064	25.50319096122739	--undefined--	--undefined--	0	
35	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	3	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.061422277277142	0.10999316336223686	--undefined--	0.007226677682442784	0	0.05419559959469922	26.996672739736184	27.058095017013326	27.050868339330883	--undefined--	--undefined--	27.058095017013326	
36	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	3	medial	k':	velar	geminate	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.17769874840843158	0.22597801768479542	0.10999316336223686	0.036509444844483596	0.09443884605227737	0.04675045751167062	27.168088180375563	27.345786928783994	27.214838637887233	27.251348082731717	--undefined--	27.345786928783994	
37	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	3	final	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd		u	0.15315008075441483	--undefined--	0.22597801768479542	0	0	0	27.57176494646879	27.724915027223204	27.214838637887233	--undefined--	--undefined--	0	
38	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	carrier	--undefined--	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.06038326325125709	0.09493180494748543	--undefined--	0.009602020712097925	0	0.050781242539159166	29.042279607086343	29.1026628703376	29.093060849625502	--undefined--	--undefined--	29.1026628703376	
39	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	carrier	--undefined--	medial	k':	velar	geminate	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.15398004357210837	0.16312876850463098	0.09493180494748543	0.038626784140479486	0.05871123492288888	0.05664202450874001	29.197594675285085	29.351574718857194	29.254236699793825	29.292863483934305	--undefined--	29.351574718857194	
40	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	carrier	--undefined--	final	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd		u	0.20449677615335204	--undefined--	0.16312876850463098	0	0	0	29.514703487361825	29.719200263515177	29.254236699793825	--undefined--	--undefined--	0	
41	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	iso	1	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.12176605259995199	0.10642375622776257	--undefined--	0.009496643493896784	0	0.1122694091060552	34.98187183308669	35.103637885686645	35.09414124219275	--undefined--	--undefined--	35.103637885686645	
42	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	iso	1	medial	t'	dental	singleton	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.15003507315983455	0.19346627854820753	0.10642375622776257	0.02802639976942345	0.06588590001490502	0.056122773375506085	35.21006164191441	35.36009671507424	35.26618441528991	35.29421081505934	--undefined--	35.36009671507424	
43	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	iso	2	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.10773495882054362	0.10199752780603433	--undefined--	0.004032521843036818	0.03659267002551303	0.06710976695199378	36.68321212154611	36.79094708036666	36.75032188849811	36.75435441034114	--undefined--	36.79094708036666	
44	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	iso	2	medial	t'	dental	singleton	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.17450926099100172	0.2559808923648035	0.10199752780603433	0.04199476542667924	0.08418930062160257	0.04832519494271992	36.89294460817269	37.06745386916369	36.94126980311541	36.98326456854209	--undefined--	37.06745386916369	
45	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	iso	3	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.055999618560321096	0.12155012155346867	--undefined--	0.002222818757410039	0.026199691512310608	0.02757710829060045	37.96246082005318	38.0184604386135	37.99003792834378	37.99226074710119	--undefined--	38.0184604386135	
46	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	iso	3	medial	t'	dental	singleton	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.12385176993303304	0.2580966953849284	0.12155012155346867	0.03469160808163707	0.05814942519618427	0.0310107366552117	38.14001056016697	38.263862330100004	38.17102129682218	38.20571290490382	38.263862330100004	38.28772869317914	
47	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	carrier	--undefined--	initial	b	bilabial	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.057254048832220406	0.11707251659237983	--undefined--	0.00746680811778333	0	0.049787240714437075	39.946921911043766	40.00417595987599	39.9967091517582	--undefined--	--undefined--	40.00417595987599	
