index	filename	word	translation	context	repetition	position	stop	poa	voice	geminate	affric	glott	pharlzd	labialzd	palatlzd	folVowel	prevVowel	totdur	folVowDur	prevVowDur	fric	postfric	closdur	tstart	tend	reltime	pfst	cvst	modst	comment
25	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	iso	3	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.024884741479009875	0.09941603498283769	--undefined--	0.006895909941004419	0	0.017988831538005456	17.70347696952497	17.72836171100398	17.721465801062976	--undefined--	--undefined--	17.72836171100398	
26	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	iso	3	medial	tʃ:	dental	voiceless	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	a	0.17132193983067623	0.07373002138034934	0.09941603498283769	0.12125308312935701	0	0.05006885670131922	17.82777774598682	17.999099685817495	17.877846602688138	--undefined--	--undefined--	17.999099685817495	
27	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	carrier	--undefined--	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	a		0.06552699027407982	0.10032355740757737	--undefined--	0.007831328701083606	0	0.057695661572996215	19.86968493665023	19.93521192692431	19.927380598223227	--undefined--	--undefined--	19.93521192692431	
28	1959_m_Murtuzov_OM	batʃ:un:u	таскать, баччунну	carrier	--undefined--	medial	tʃ:	dental	voiceless	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u	a	0.1656749473679504	0.06600498902554364	0.10032355740757737	0.12586063983888351	0	0.039814307529066895	20.035535484331888	20.201210431699838	20.075349791860955	--undefined--	--undefined--	20.201210431699838	
29	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	1	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.046436882062085516	0.08687689634688311	--undefined--	0.0032907915282933686	0	0.04314609053379215	23.451847313009104	23.49828419507119	23.494993403542896	--undefined--	--undefined--	23.49828419507119	
30	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	1	medial	k':	velar	voiceless	geminate	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.2047813213649654	0.20522827815020506	0.08687689634688311	0.1551608205589261	0	0.0496205008060393	23.585161091418072	23.789942412783038	23.634781592224112	--undefined--	--undefined--	23.789942412783038	
31	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	1	final	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd		u	0.13062586994933767	--undefined--	0.20522827815020506	0	0	0	23.995170690933243	24.12579656088258	23.634781592224112	--undefined--	--undefined--	0	
32	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	2	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.06693079930413504	0.11441141969699231	--undefined--	0.01118547399272174	0	0.055745325311413296	25.246000378744853	25.312931178048988	25.301745704056266	--undefined--	--undefined--	25.312931178048988	
33	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	2	medial	k':	velar	voiceless	geminate	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.20847612653797754	0.2302765926978516	0.11441141969699231	0.13262776305656843	0	0.07584836348140911	25.42734259774598	25.635818724283958	25.50319096122739	--undefined--	--undefined--	25.635818724283958	
34	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	2	final	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd		u	0.16934394451882895	--undefined--	0.2302765926978516	0	0	0	25.86609531698181	26.03543926150064	25.50319096122739	--undefined--	--undefined--	0	
35	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	3	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.061422277277142	0.10999316336223686	--undefined--	0.007226677682442784	0	0.05419559959469922	26.996672739736184	27.058095017013326	27.050868339330883	--undefined--	--undefined--	27.058095017013326	
36	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	3	medial	k':	velar	voiceless	geminate	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.17769874840843158	0.22597801768479542	0.10999316336223686	0.13094829089676097	0	0.04675045751167062	27.168088180375563	27.345786928783994	27.214838637887233	--undefined--	--undefined--	27.345786928783994	
37	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	iso	3	final	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd		u	0.15315008075441483	--undefined--	0.22597801768479542	0	0	0	27.57176494646879	27.724915027223204	27.214838637887233	--undefined--	--undefined--	0	
38	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	carrier	--undefined--	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.058941315993571664	0.09637375220517086	--undefined--	0.008160073454412498	0	0.050781242539159166	29.042279607086343	29.101220923079914	29.093060849625502	--undefined--	--undefined--	29.101220923079914	
39	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	carrier	--undefined--	medial	k':	velar	voiceless	geminate	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	u	e	0.15398004357210837	0.16312876850463098	0.09637375220517086	0.09733801906336836	0	0.05664202450874001	29.197594675285085	29.351574718857194	29.254236699793825	--undefined--	--undefined--	29.351574718857194	
40	1959_m_Murtuzov_OM	bek':ub	горячий, бекIкIуб	carrier	--undefined--	final	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd		u	0.20449677615335204	--undefined--	0.16312876850463098	0	0	0	29.514703487361825	29.719200263515177	29.254236699793825	--undefined--	--undefined--	0	
41	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	iso	1	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.12176605259995199	0.10642375622776257	--undefined--	0.009496643493896784	0	0	34.98187183308669	35.103637885686645	35.09414124219275	--undefined--	--undefined--	35.103637885686645	
42	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	iso	1	medial	t'	dental	voiceless	singleton	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.15003507315983455	0.19346627854820753	0.10642375622776257	0.03177187746514676	0.06214042231918171	0.056122773375506085	35.21006164191441	35.36009671507424	35.26618441528991	35.29795629275506	--undefined--	35.36009671507424	
43	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	iso	2	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.10773495882054362	0.10199752780603433	--undefined--	0.0413273261561784	0	0.06640763266436522	36.68321212154611	36.79094708036666	36.74961975421048	--undefined--	--undefined--	36.79094708036666	
44	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	iso	2	medial	t'	dental	voiceless	singleton	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.17450926099100172	0.2559808923648035	0.10199752780603433	0.04927170060361874	0.07691236544466307	0.04832519494271992	36.89294460817269	37.06745386916369	36.94126980311541	36.99054150371903	--undefined--	37.06745386916369	
45	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	iso	3	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.055999618560321096	0.12155012155346867	--undefined--	0.028422510269720647	0	0.02757710829060045	37.96246082005318	38.0184604386135	37.99003792834378	--undefined--	--undefined--	38.0184604386135	
46	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	iso	3	medial	t'	dental	voiceless	singleton	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.12385176993303304	0.2580966953849284	0.12155012155346867	0.04275198865079943	0.050089044627021906	0.0310107366552117	38.14001056016697	38.263862330100004	38.17102129682218	38.21377328547298	38.263862330100004	38.28772869317914	
47	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	carrier	--undefined--	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	o		0.057254048832220406	0.11707251659237983	--undefined--	0.00746680811778333	0	0.049787240714437075	39.946921911043766	40.00417595987599	39.9967091517582	--undefined--	--undefined--	40.00417595987599	
48	1959_m_Murtuzov_OM	bot'i	слепой, ботIи	carrier	--undefined--	medial	t'	dental	voiceless	singleton	plain	glottalic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.14164093165146596	0.20270116418947026	0.11707251659237983	0.03775962226636409	0.07109687951250976	0.032784429872592113	40.12124847646837	40.26288940811983	40.15403290634096	40.19179252860732	--undefined--	40.26288940811983	
49	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	iso	1	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u		0.02809414955448375	0.10151352705684502	--undefined--	0.009739305178889879	0.01835484437559387	0	43.575568794176775	43.60366294373126	43.575568794176775	43.585308099355665	--undefined--	43.60366294373126	
50	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	iso	1	medial	k:	velar	voiceless	geminate	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u)	u	0.21062588957435935	0.09150589345840388	0.10151352705684502	0.10338647036048343	0	0.10723941921387592	43.7051764707881	43.91580236036246	43.81241589000198	--undefined--	--undefined--	43.91580236036246	check right border
51	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	iso	2	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u		0.06773026455710607	0.08812740134366237	--undefined--	0.007837841081823171	0	0.0598924234752829	45.379651624976745	45.44738188953385	45.43954404845203	--undefined--	--undefined--	45.44738188953385	
52	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	iso	2	medial	k:	velar	voiceless	geminate	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u)	u	0.19980748787084224	0.09376568176235622	0.08812740134366237	0.11652257074971573	0	0.08328491712112651	45.53550929087751	45.735316778748356	45.61879420799864	--undefined--	--undefined--	45.735316778748356	check right border
53	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	iso	3	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u		0.09278402991849788	0.09150293768750828	--undefined--	0.00469443008515924	0	0.08808959983333864	47.262557415305125	47.35534144522362	47.35064701513846	--undefined--	--undefined--	47.35534144522362	
54	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	iso	3	medial	k:	velar	voiceless	geminate	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u)	u	0.19341770843634976	0.08674990659567072	0.09150293768750828	0.11567774483766158	0	0.07773996359868818	47.44684438291113	47.64026209134748	47.52458434650982	--undefined--	--undefined--	47.64026209134748	check right border
55	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	carrier	--undefined--	initial	b	bilabial	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u		0.07330311795249855	0.07516641162588655	--undefined--	0.007805224831315627	0	0.06549789312118293	49.51960251601808	49.59290563397058	49.585100409139265	--undefined--	--undefined--	49.59290563397058	
56	1959_m_Murtuzov_OM	buk:uja	упадет, буккуя	carrier	--undefined--	medial	k:	velar	voiceless	geminate	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	u)	u	0.15160683022848076	0.08153644650943193	0.07516641162588655	0.09236550581147185	0	0.05924132441700891	49.66807204559647	49.81967887582495	49.727313370013476	--undefined--	--undefined--	49.81967887582495	check right border
57	1959_m_Murtuzov_OM	wots:i	брат, воцци	iso	1	medial	ts:	dental	voiceless	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.265571227939148	0.2533772708162658	0.13061401626995206	0.20013850726003568	0	0.06543272067911232	54.01468496312402	54.28025619106317	54.08011768380313	--undefined--	--undefined--	54.28025619106317	
58	1959_m_Murtuzov_OM	wots:i	брат, воцци	iso	2	medial	ts:	dental	voiceless	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.2709658566914115	0.2627875856010604	0.13505906940598322	0.1961538201502151	0	0.07481203654119639	56.37108554535603	56.64205140204744	56.44589758189723	--undefined--	--undefined--	56.64205140204744	
59	1959_m_Murtuzov_OM	wots:i	брат, воцци	iso	3	medial	ts:	dental	voiceless	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.2889588413005626	0.2357308741075954	0.12676559384355812	0.20405272748801906	0	0.08490611381254354	58.51694259505043	58.80590143635099	58.601848708862974	--undefined--	--undefined--	58.80590143635099	
60	1959_m_Murtuzov_OM	wots:i	брат, воцци	carrier	--undefined--	medial	ts:	dental	voiceless	geminate	affricate	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	i	o	0.2291363193111664	0.23317844140282062	0.10596861256279055	0.17183248619318192	0	0.05730383311798448	61.032473170971045	61.26160949028221	61.08977700408903	--undefined--	--undefined--	61.26160949028221	
61	1959_m_Murtuzov_OM	ɡedu	кошка, геду	iso	1	initial	g	velar	voiced	singleton	plain	pulmonic	non-pharnglzd	non-lablzd	non-palatlzd	e		0.07138425644586732	0.17393388842272373	--undefined--	0.015146299073109049	0	0.056237957372758274	64.0605947252632	64.13197898170907	64.11683268263596	--undefined--	--undefined--	64.13197898170907	
