index	filename	word	translation	context	repetition	position	stop	folVowel	prevVowel	totdur	folVowDur	prevVowDur	fric	postfric	closdur	tstart	tend	reltime	pfst	modst
801	kna_stop_magomet	qatʃaχ	разбойник, хъачах	iso	2	medial	tʃ	a	a	0.19812493183286506	0.16809909642023513	0.12843054209514548	0.07324637991456484	0.011940789218897407	0.11293776269940281	365.8665360280304	366.06466095986326	365.9794737907298	366.05272017064436	366.06466095986326
802	kna_stop_magomet	qatʃaχ	разбойник, хъачах	iso	3	initial	q	a		0.0074239570611212	0.08327133725117619	--undefined--	0.0074239570611212	0	0	366.4774416032691	366.4848655603302	366.4774416032691	366.05272017064436	366.4848655603302
803	kna_stop_magomet	qatʃaχ	разбойник, хъачах	iso	3	medial	tʃ	a	a	0.1930729319322495	0.11293230739721594	0.08327133725117619	0.06190162341277983	0.02958551184093494	0.10158579667853473	366.5681368975814	366.76120982951363	366.6697226942599	366.7316243176727	366.4848655603302
804	kna_stop_magomet	rapara	сверкает, рапара	iso	1	medial	p	a	a	0.1472649919795117	0.1316335123839849	0.11188848552637864	0.00825671953600704	0.03584220134212046	0.1031660711013842	378.5324306270478	378.6796956190273	378.6355966981492	378.6438534176852	378.6796956190273
805	kna_stop_magomet	rapara	сверкает, рапара	iso	2	medial	p	a	a	0.12645427521931651	0.13024295355194226	0.12882260691463898	0.010510260159605878	0.02479074045828611	0.09115327460142453	379.3343294571393	379.4607837323586	379.4254827317407	379.4359929919003	379.4607837323586
806	kna_stop_magomet	rapara	сверкает, рапара	iso	3	medial	p	a	a	0.09810985406267037	0.1329373461802561	0.08807759732945897	0.024417063584166954	0	0.07369279047850341	380.01959598152996	380.11770583559263	380.09328877200846	379.4359929919003	380.11770583559263
807	kna_stop_magomet	haqagura	найти, гьахъагур а	iso	1	medial	q	a	a	0.1571084006076262	0.10408431540253105	0.12568672048610097	0.038711800794374085	0	0.11839659981325212	427.8771261375999	428.0342345382075	427.9955227374131	379.4359929919003	428.0342345382075
808	kna_stop_magomet	haqagura	найти, гьахъагур а	iso	1	medial	g	u	a	0.09917467788358181	0.16103611062283107	0.10408431540253105	0.017674695068365054	0	0.08149998281521675	428.13831885361003	428.2374935314936	428.21981883642525	379.4359929919003	428.2374935314936
809	kna_stop_magomet	haqagura	найти, гьахъагур а	iso	2	medial	q	a	a	0.15186936488686342	0.12655780407243356	0.12059831513005292	0.018852426990179083	0.020845491209115607	0.11217144668756873	429.05202372451737	429.20389308940423	429.16419517120494	429.1830475981951	429.20389308940423
810	kna_stop_magomet	haqagura	найти, гьахъагур а	iso	2	medial	g	u	a	0.10383475673359044	0.14581775161798305	0.12655780407243356	0.023469347885736624	0	0.08036540884785381	429.33045089347667	429.43428565021026	429.4108163023245	429.1830475981951	429.43428565021026
811	kna_stop_magomet	haqagura	найти, гьахъагур а	iso	3	medial	q	a	a	0.16718000140929234	0.10989031939573124	0.08195034589613215	0.033087933084800625	0	0.13409206832449172	429.92067521523956	430.08785521664885	430.05476728356405	429.1830475981951	430.08785521664885
812	kna_stop_magomet	haqagura	найти, гьахъагур а	iso	3	medial	g	u	a	0.0938773915429465	0.12700213621900502	0.10989031939573124	0.024238834701691303	0	0.0696385568412552	430.1977455360446	430.2916229275875	430.26738409288583	429.1830475981951	430.2916229275875
813	kna_stop_magomet	sakaldɨ	одинаковый, сакалды	iso	1	medial	k	a	a	0.22050082318997966	0.12319291160747525	0.10112393968375955	0.059289856146563125	0	0.16121096704341653	433.8649760153587	434.0854768385487	434.0261869824021	429.1830475981951	434.0854768385487
814	kna_stop_magomet	sakaldɨ	одинаковый, сакалды	iso	1	medial	d	ɨ	l	0.15571296907057786	0.09128001635167493	0.04806063370682523	0	0	0	434.256730383863	434.41244335293356	434.0261869824021	429.1830475981951	434.0854768385487
815	kna_stop_magomet	sakaldɨ	одинаковый, сакалды	iso	2	medial	k	a	a	0.2163419196730274	0.12574385944901678	0.09450314902687751	0.040791219326536066	0	0.17555070034649134	434.771706217072	434.988048136745	434.9472569174185	429.1830475981951	434.988048136745
816	kna_stop_magomet	sakaldɨ	одинаковый, сакалды	iso	2	medial	d	ɨ	l	0.07185363397087485	0.10699943319571048	0.0515471721964218	0	0	0	435.16533916839046	435.23719280236133	434.9472569174185	429.1830475981951	434.988048136745
817	kna_stop_magomet	sakaldɨ	одинаковый, сакалды	iso	3	medial	k	a	a	0.18431320492356917	0.09584286656030372	0.08294094221565729	0.06456372524570497	0	0.1197494796778642	435.53963798463525	435.7239511895588	435.6593874643131	429.1830475981951	435.7239511895588
818	kna_stop_magomet	sakaldɨ	одинаковый, сакалды	iso	3	final	d		l	0.09154222511205035	--undefined--	0.06266648967402944	0	0	0	435.88246054579315	435.9740027709052	435.6593874643131	429.1830475981951	435.7239511895588
819	kna_stop_magomet	sata	оставь, сата	iso	1	medial	t	a	a	0.13055973587563585	0.09592143860248825	0.1241649733021859	0.04423044113337937	0	0.08632929474225648	438.6067315093609	438.7372912452365	438.69306080410314	429.1830475981951	438.7372912452365
820	kna_stop_magomet	sata	оставь, сата	iso	2	medial	t	a	a	0.13599713552736148	0.18669782201789076	0.11333094627286755	0.026237823335350186	0	0.1097593121920113	439.3982630795354	439.5342602150628	439.5080223917274	429.1830475981951	439.5342602150628
821	kna_stop_magomet	sata	оставь, сата	iso	3	medial	t	a	a	0.13502052819615074	0.07039432181522898	0.11497202552459385	0.04294109124634815	0	0.09207943694980258	439.9877749846204	440.12279551281654	440.0798544215702	429.1830475981951	440.12279551281654
822	kna_stop_magomet	sɨlabɨr	зубы, сылабыр	iso	1	medial	b	ɨ	a	0.08049129609702277	0.16269517296211689	0.1644077537301314	0.0056674219376873225	0	0.07482387415933545	462.71551393793214	462.79600523402917	462.7903378120915	429.1830475981951	462.79600523402917
823	kna_stop_magomet	sɨlabɨr	зубы, сылабыр	iso	2	medial	b	ɨ	a	0.08453830676074858	0.2737888343955319	0.12776812271789595	0.0033732475345686908	0	0.08116505922617989	463.7357710752517	463.82030938201245	463.8169361344779	429.1830475981951	463.82030938201245
824	kna_stop_magomet	sɨlabɨr	зубы, сылабыр	iso	3	medial	b	ɨ	a	0.0763380924726107	0.10732237706446313	0.1229832262116588	0.011002571844642262	0	0.06533552062796844	464.59452229323125	464.67086038570386	464.6598578138592	429.1830475981951	464.67086038570386
825	kna_stop_magomet	sit'aʔ	завяжи, сыт1аъ	iso	1	medial	t'	a	i	0.11994715494694219	0.11284502077245406	0.0757560978612446	0.0432179083844062	0	0.07672924656253599	468.33324142974527	468.4531885846922	468.4099706763078	429.1830475981951	468.4531885846922
826	kna_stop_magomet	sit'aʔ	завяжи, сыт1аъ	iso	1	final	ʔ		a	0.17824691904786505	--undefined--	0.11284502077245406	0	0	0	468.56603360546467	468.74428052451253	468.4099706763078	429.1830475981951	468.4531885846922
827	kna_stop_magomet	sit'aʔ	завяжи, сыт1аъ	iso	2	medial	t'	a	i	0.11706093184625388	0.15606360160057875	0.08961789189498859	0.04077337339111864	0	0.07628755845513524	469.349566342269	469.46662727411524	469.4258539007241	429.1830475981951	469.46662727411524
828	kna_stop_magomet	sit'aʔ	завяжи, сыт1аъ	iso	2	final	ʔ		a	0.16744552027330428	--undefined--	0.15606360160057875	0	0	0	469.6226908757158	469.7901363959891	469.4258539007241	429.1830475981951	469.46662727411524
829	kna_stop_magomet	sit'aʔ	завяжи, сыт1аъ	iso	3	medial	t'	a	i	0.10998853346626447	0.09021531396672344	0.06302713715479058	0.05252261429569671	0	0.05746591917056776	470.12184245114213	470.2318309846084	470.1793083703127	429.1830475981951	470.2318309846084
830	kna_stop_magomet	sit'aʔ	завяжи, сыт1аъ	iso	3	final	ʔ		a	0.13655879716878871	--undefined--	0.09021531396672344	0	0	0	470.3220462985751	470.4586050957439	470.1793083703127	429.1830475981951	470.2318309846084
831	kna_stop_magomet	χaq'aʔ	держать, хакьаъ	iso	1	medial	q	a	a	0.1325959469908753	0.1617732165173038	0.14234298367006204	0.01714868733466801	0	0.11544725965620728	485.1636504505875	485.2962463975784	485.2790977102437	429.1830475981951	485.2962463975784
832	kna_stop_magomet	χaq'aʔ	держать, хакьаъ	iso	1	final	ʔ		a	0.15977273677253834	--undefined--	0.1617732165173038	0	0	0	485.4580196140957	485.6177923508682	485.2790977102437	429.1830475981951	485.2962463975784
833	kna_stop_magomet	χaq'aʔ	держать, хакьаъ	iso	2	medial	q'	a	a	0.1790584594650113	0.14341256244188116	0.1334648702493837	0.02836131127446606	0	0.15069714819054525	486.2004822888762	486.3795407483412	486.3511794370667	429.1830475981951	486.3795407483412
834	kna_stop_magomet	χaq'aʔ	держать, хакьаъ	iso	2	final	ʔ		a	0.16247897247751553	--undefined--	0.14341256244188116	0	0	0	486.52295331078307	486.6854322832606	486.3511794370667	429.1830475981951	486.3795407483412
835	kna_stop_magomet	χaq'aʔ	держать, хакьаъ	iso	3	medial	q'	a	a	0.17310899380441924	0.05770299793476852	0.12428338016729867	0.057120952351567666	0	0.11598804145285158	487.14776910061676	487.3208780944212	487.2637571420696	429.1830475981951	487.3208780944212
836	kna_stop_magomet	χaq'aʔ	держать, хакьаъ	iso	3	final	ʔ		a	0.1205844700432408	--undefined--	0.05770299793476852	0	0	0	487.37858109235594	487.4991655623992	487.2637571420696	429.1830475981951	487.3208780944212
837	kna_stop_magomet	t'at'al	дубина, т1ат1ал	iso	1	initial	t'	a		0.0940605006488795	0.14556615273124862	--undefined--	0.034900716492245465	0.05915978415663403	0	489.61098903142516	489.70504953207404	489.61098903142516	489.6458897479174	489.70504953207404
838	kna_stop_magomet	t'at'al	дубина, т1ат1ал	iso	1	medial	t'	a	a	0.12538866621400757	0.1960098690242944	0.14556615273124862	0.02818063618741462	0	0.09720803002659295	489.8506156848053	489.9760043510193	489.9478237148319	489.6458897479174	489.9760043510193
